State,Living with both parents, Father alive,Father dead,Mother alive,Mother dead,Both alive,Only mother alive,Only father alive,Both dead,Total,Percentage not living with a biological parent,Percentage with one or both parents dead*
India,84.1,8.1,2.8,0.6,1.1,2.5,0.2,0.2,0.3,100,3.2,4.6
,,,,,,,,,,,,
Haryana,92.1,2.7,1.7,0.3,1.2,1.4,0.1,0.1,0.4,100,2,4.5
Himachal Pradesh,76.9,16.3,2.5,0.6,0.7,2.5,0.2,0.2,0.1,100,3,3.5
Punjab,89,2.8,4.4,0.9,0.8,1.5,0.2,0.1,0.3,100,2.1,4.2
Rajasthan,85,7.8,2.5,0.4,1.1,2.7,0.2,0.2,0.2,100,3.2,4.1
Uttarakhand,81.5,10.7,3.4,0.4,1.1,2.1,0.3,0.2,0.3,100,2.9,5.2
Chhattisgarh,87.4,2.3,3,0.6,1.5,4.3,0.3,0.3,0.4,100,5.2,5.3
Madhya Pradesh,88.9,2.5,2.8,0.7,1.3,3,0.3,0.3,0.3,100,3.8,4.6
Uttar Pradesh,81,11.1,2.8,0.4,1.7,2.1,0.4,0.2,0.3,100,2.9,5.3
Bihar,70.7,21.7,2.3,1.1,0.6,2.9,0.1,0.3,0.2,100,3.5,4
Jharkhand,82.7,8.6,3.3,0.5,1.2,2.9,0.3,0.3,0.3,100,3.8,5.4
Odisha,85.5,3.3,6.2,1.3,0.4,2.5,0.2,0.2,0.3,100,3.3,5.4
West Bengal,87.7,2.3,4.8,0.6,1,2.8,0.2,0.2,0.3,100,3.5,4
Arunachal Pradesh,83.9,3.2,2.5,1.3,1.1,5.9,0.4,0.8,0.9,100,8,6.5
Assam,87.9,3.4,3.8,0.4,1.4,1.9,0.3,0.3,0.5,100,3.1,6.3
Manipur,85.2,3.5,3.7,1.4,1.1,3.9,0.5,0.2,0.4,100,5.1,6
Meghalaya,83.2,6.4,5,0.9,0.4,2,0.2,0.4,1.3,100,3.9,7.6
Mizoram,76,7.9,3.5,3.5,1.1,6.3,1,0.2,0.5,100,8,6.2
Nagaland,78,3.3,4.6,1.6,1.2,8.4,0.5,1.2,1.1,100,11.3,7.3
Sikkim,80.4,3.7,2.6,2.7,1.7,6.4,0.8,0.6,1.1,100,8.9,6.7
Tripura,89.5,3.8,2.5,0.2,1.1,2.3,0.3,0.2,0.1,100,2.9,4.1
Goa,86.1,6.6,4.2,0.5,0.3,1.6,0.2,0.5,0,100,2.3,5.1
Gujarat,88.4,3.4,2.2,1,1.1,3.2,0.2,0.2,0.2,100,3.9,3.9
Maharashtra,89.7,2.7,3.3,0.5,0.7,2.5,0.1,0.2,0.3,100,3.1,4.6
Andhra Pradesh,88.2,3.8,2.7,1,0.7,2.7,0.3,0.3,0.4,100,3.6,5.7
Karnataka,86.7,3.6,4.6,0.5,0.8,3,0.3,0.2,0.3,100,3.8,4.8
Kerala,79.1,16.7,1.5,0.7,0.2,1.4,0.1,0.1,0.1,100,1.8,2
Tamil Nadu,85.3,2.8,8.3,0.7,0.4,2.1,0.1,0.1,0.2,100,2.5,3.6
Telangana,88.8,2.8,4.3,0.5,0.8,1.8,0.1,0.4,0.4,100,2.8,6.1
,,,,,,,,,,,,
Andaman & Nicobar Islands,88.9,3.9,2.5,0.7,0.5,2.9,0.1,0.1,0.3,100,3.5,3.5
Chandigarh,91.1,3.3,2.2,0.6,0.9,1.8,0,0.1,0,100,2,2.9
Delhi,93.3,1.6,1.8,0.6,0.5,1.7,0.1,0.1,0.2,100,2.2,2.9
Dadra & Nagar Haveli,92.7,1.7,2,0.9,0.8,1.6,0.1,0.1,0.2,100,2,3.2
Daman & Diu,85.5,3.7,3.8,0.3,0.4,5.7,0,0.5,0.1,100,6.3,4.8
Dadra & Nagar Haveli and Daman & Diu,,,,,,,,,,,,
Jammu & Kashmir,87.7,6,2.5,1,1.2,1.1,0.1,0.1,0.2,100,1.5,3.9
Ladakh,,,,,,,,,,,,
Lakshadweep,70.3,25.5,2,0.6,0.1,1.2,0.2,0,0,100,1.4,2.3
Puducherry,85.1,4.6,8.1,0.5,0.4,1.1,0.1,0.1,0.2,100,1.4,5.1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,"* Includes children with father dead, mother dead, both parents dead, and one parent dead but missing information on survival status of the other parent ",,,,
